Наименование,Ссылка,Пол,Вес,Год рождения,Возрастная группа,Продавец,Стоимость,Количество,Гены
OD Enchi Mojave Poss GeneX Het PiedBall Python,https://www.morphmarket.com/fr/c/reptiles/pythons/ball-pythons/527704,male,,                            2020                    ,                    B            , Des-rep ,€300,        1    ,"['Enchi', 'Mojave', 'Orange Dream', '100% Het Piebald', 'GeneX']"
Pastel OrangeDreamBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/544178,male,,                            2020                    ,                    B            , CPR ,£88,        1    ,"['Orange Dream', 'Pastel']"
Coral Glow Desert GhostBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1106270,male,,                            2022                    ,                    B            , CRM ,£435,        1    ,"['Coral Glow', 'Blade', 'Desert Ghost']"
Proven Firefly 100% Dh Clown GhostBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/690727,male,,                            2016                    ,                    A            , CRM ,£350,        1    ,"['Fire', 'Pastel', '100% Het Clown', '100% Het Hypo']"
Coral Glow Fire EnchiBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/658986,female,,                            2021 Aug                    ,                    B            , Atlas Regius ,£300,        1    ,"['Coral Glow', 'Enchi', 'Fire']"
Black Head Yellow Belly 100% Het. Clown 50% Het. Ghost Poss. Red GeneBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1287576,male,        620g    ,                            2021 Jul                    ,                    S            , RBPythons ,"€1,150",        1    ,"['Black Head', 'Yellow Belly', '100% Het Clown', '50% Het Hypo', 'Red Gene']"
Mohave SpiderBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1159887,female,        1900g    ,                            2019                    ,                    A            , B.o.t.b ,£100,        1    ,"['Mojave', 'Spider']"
Pastel Fire Yellow BellyBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/936947,female,        1781g    ,                            2017                    ,                    A            , B.o.t.b ,£100,        1    ,"['Fire', 'Pastel', 'Yellow Belly']"
Pastel 100% Het CandyBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1287258,male,        1600g    ,                            2018                    ,                    A            , Gamma Reptiles ,£90,        1    ,"['Pastel', '100% Het Candy']"
Pastel Fire ClownBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1287228,male,        1500g    ,                            2018                    ,                    A            , Gamma Reptiles ,£320,        1    ,"['Fire', 'Pastel', 'Clown']"
Clown Het PiedBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1286987,male,        100g    ,                            2022 Oct                    ,                    B            , MyRegiusBalls ,€600,        1    ,"['Clown', '100% Het Piebald']"
Wookie ClownBall Python,https://www.morphmarket.com/dk/c/reptiles/pythons/ball-pythons/1286983,female,        300g    ,                            2022                    ,                    B            , No limits ,"€4,250",        1    ,"['Wookie', 'Clown']"
